Label,Source,Formula,Density (g.cm⁻³),PLD (Å),Cp (J.g⁻¹.K⁻¹),Link to Publication
str_m5_o1_o17_sra_sym.58,In Silico,V4 H40 C66 O26,1.0663,3.59187,0.9178,10.1038/s41586-019-1798-7
str_m5_o1_o18_sra_sym.15,In Silico,V4 H20 C56 O20 F8,1.0221,3.53549,0.8721,10.1038/s41586-019-1798-7
str_m5_o1_o18_sra_sym.27,In Silico,V4 H20 C56 O20 F8,1.02195,3.60172,0.872010147,10.1038/s41586-019-1798-7
str_m5_o1_o18_sra_sym.28,In Silico,V4 H28 C56 O20,0.915055,3.75677,0.917776761,10.1038/s41586-019-1798-7
str_m5_o1_o18_sra_sym.33,In Silico,V4 H28 C60 O24,0.988556,3.64488,0.913597205,10.1038/s41586-019-1798-7
str_m5_o1_o18_sra_sym.55,In Silico,V4 H32 C56 N4 O20,0.961592,3.57397,0.936538163,10.1038/s41586-019-1798-7
str_m5_o1_o18_sra_sym.61,In Silico,V4 H40 C60 N4 O20,1.0047,3.33558,0.9345,10.1038/s41586-019-1798-7
str_m5_o1_o2_sra_sym.48,In Silico,V4 H26 C44 Cl2 O20,1.17158,4.33989,0.886160075,10.1038/s41586-019-1798-7
str_m5_o10_o29_sra_sym.117,In Silico,V4 H64 C92 N16 O36,1.0541,3.65258,0.9686,10.1038/s41586-019-1798-7
str_m5_o10_o29_sra_sym.172,In Silico,V4 H68 C100 N4 O28,0.9616,4.16205,0.9602,10.1038/s41586-019-1798-7
str_m5_o10_o29_sra_sym.189,In Silico,V4 H24 C84 N8 O28 F16,1.02219,4.8159,0.873921036,10.1038/s41586-019-1798-7
str_m5_o10_o29_sra_sym.205,In Silico,V4 H44 C88 N4 O32,0.910916,4.23864,0.932724365,10.1038/s41586-019-1798-7
str_m5_o10_o29_sra_sym.31,In Silico,V4 H28 C92 N12 O28,0.950083,4.56603,0.916520463,10.1038/s41586-019-1798-7
str_m5_o10_o29_sra_sym.41,In Silico,V4 H52 C92 N4 O36,0.968026,4.66195,0.948705219,10.1038/s41586-019-1798-7
str_m5_o10_o29_sra_sym.5,In Silico,V4 H60 C96 N4 O28,0.937321,5.27903,0.950934405,10.1038/s41586-019-1798-7
str_m5_o10_o29_sra_sym.85,In Silico,V4 H32 C84 N8 O36,0.94031,4.43658,0.90103864,10.1038/s41586-019-1798-7
str_m5_o11_o16_sra_sym.124,In Silico,V4 H24 C45 O21,0.9708,3.63201,0.8895,10.1038/s41586-019-1798-7
str_m5_o11_o16_sra_sym.127,In Silico,V4 H29 C47 O23 F1,1.0366,3.24587,0.8957,10.1038/s41586-019-1798-7
str_m5_o11_o16_sra_sym.128,In Silico,V4 H23 C44 Cl1 O20,0.976,3.61239,0.8764,10.1038/s41586-019-1798-7
str_m5_o11_o16_sra_sym.151,In Silico,V4 H27 C47 N1 O24,1.0478,3.4559,0.9072,10.1038/s41586-019-1798-7
str_m5_o11_o16_sra_sym.162,In Silico,V4 H25 C45 N1 O23,1.0127,3.25368,0.8917,10.1038/s41586-019-1798-7
str_m5_o11_o16_sra_sym.174,In Silico,V4 H26 C45 N1 O20 F1,0.986563,3.57566,0.908261352,10.1038/s41586-019-1798-7
str_m5_o11_o16_sra_sym.189,In Silico,V4 H19 C46 N2 Cl3 O20,1.0778,3.4691,0.8565,10.1038/s41586-019-1798-7
str_m5_o11_o16_sra_sym.4,In Silico,V4 H23 C45 N1 O20,0.9643,3.5114,0.8908,10.1038/s41586-019-1798-7
str_m5_o11_o16_sra_sym.80,In Silico,V4 H23 C45 N1 O20,0.9671,3.61042,0.8911,10.1038/s41586-019-1798-7
str_m5_o11_o16_sra_sym.83,In Silico,V4 H36 C50 O25,1.0903,3.38171,0.9232,10.1038/s41586-019-1798-7
str_m5_o11_o18_sra_sym.132,In Silico,V4 H40 C58 O20,0.9242,3.35065,0.9388,10.1038/s41586-019-1798-7
str_m5_o11_o18_sra_sym.137,In Silico,V4 H28 C52 O24,0.911527,3.73025,0.929107047,10.1038/s41586-019-1798-7
str_m5_o11_o18_sra_sym.22,In Silico,V4 H52 C64 O20,0.99,3.09287,0.9655,10.1038/s41586-019-1798-7
str_m5_o11_o18_sra_sym.57,In Silico,V4 H40 C58 O20,0.9262,3.49528,0.9422,10.1038/s41586-019-1798-7
str_m5_o11_o18_sra_sym.8,In Silico,V4 H38 C58 Br2 O20,1.04725,3.40073,0.8725633,10.1038/s41586-019-1798-7
str_m5_o12_o18_sra_sym.99,In Silico,V4 H40 C60 O22,1.3414,3.93761,0.925,10.1038/s41586-019-1798-7
str_m5_o13_o16_sra_sym.13,In Silico,V4 H82 C80 N6 O20,1.116,3.43218,1.0085,10.1038/s41586-019-1798-7
str_m5_o13_o16_sra_sym.45,In Silico,V4 H36 C60 O30,0.986002,3.94402,0.945377144,10.1038/s41586-019-1798-7
str_m5_o13_o22_sra_sym.235,In Silico,V4 H52 C56 N8 O36,1.3513,4.2863,0.9322,10.1038/s41586-019-1798-7
str_m5_o16_o16_sra_sym.3,In Silico,V4 H16 C64 O20 F16,1.1047,3.53119,0.8436,10.1038/s41586-019-1798-7
str_m5_o16_o16_sra_sym.34,In Silico,V4 H32 C64 O20,0.909978,3.80808,0.923395871,10.1038/s41586-019-1798-7
str_m5_o16_o16_sra_sym.37,In Silico,V4 H40 C68 O24,0.9914,3.45463,0.9455,10.1038/s41586-019-1798-7
str_m5_o16_o16_sra_sym.39,In Silico,V4 H32 C64 O20,0.909977,3.8123,0.923425254,10.1038/s41586-019-1798-7
str_m5_o16_o16_sra_sym.43,In Silico,V4 H32 C72 O28,1.0428,3.26901,0.9116,10.1038/s41586-019-1798-7
str_m5_o16_o16_sra_sym.62,In Silico,V4 H32 C64 O20,0.909959,3.81535,0.923445215,10.1038/s41586-019-1798-7
str_m5_o16_o16_sra_sym.77,In Silico,V4 H56 C76 O20,1.0025,3.821,0.9703,10.1038/s41586-019-1798-7
str_m5_o16_o17_sra_sym.6,In Silico,V4 H38 C80 O20 F18,1.0727,4.98492,0.893060061,10.1038/s41586-019-1798-7
str_m5_o16_o19_sra_sym.15,In Silico,V4 H28 C48 N4 O22,0.9772,3.3364,0.948,10.1038/s41586-019-1798-7
str_m5_o16_o24_sra_sym.108,In Silico,V4 H25 C52 N1 O20 F4,1.1468,3.1814,0.8686,10.1038/s41586-019-1798-7
str_m5_o16_o24_sra_sym.92,In Silico,V4 H32 C54 O21,1.1099,3.06197,0.8887,10.1038/s41586-019-1798-7
str_m5_o17_o22_sra_sym.36,In Silico,V4 H64 C68 O30,1.1278,4.52074,0.9651,10.1038/s41586-019-1798-7
str_m5_o17_o22_sra_sym.44,In Silico,V4 H72 C72 O20,1.0608,4.18638,0.9833,10.1038/s41586-019-1798-7
str_m5_o18_o18_sra_sym.11,In Silico,V4 H32 C80 O20 F8,1.08531,3.48957,0.892243724,10.1038/s41586-019-1798-7
str_m5_o18_o18_sra_sym.23,In Silico,V4 H40 C80 O28,1.0783,3.43639,0.947772088,10.1038/s41586-019-1798-7
str_m5_o18_o18_sra_sym.27,In Silico,V4 H32 C80 O20 F8,1.087,3.50509,0.9004,10.1038/s41586-019-1798-7
str_m5_o18_o18_sra_sym.38,In Silico,V4 H40 C80 O20,0.992384,3.52223,0.938163656,10.1038/s41586-019-1798-7
str_m5_o18_o18_sra_sym.54,In Silico,V4 H40 C80 O20,0.992429,3.52396,0.937913902,10.1038/s41586-019-1798-7
str_m5_o18_o18_sra_sym.57,In Silico,V4 H40 C80 O20,0.9924,3.52298,0.9277,10.1038/s41586-019-1798-7
str_m5_o18_o19_sra_sym.43,In Silico,V4 H36 C76 O20,1.0064,3.3279,0.9521,10.1038/s41586-019-1798-7
str_m5_o18_o19_sra_sym.88,In Silico,V4 H36 C60 O20,0.8747,3.62568,0.9539,10.1038/s41586-019-1798-7
str_m5_o18_o22_sra_sym.67,In Silico,V4 H44 C60 O20,0.9694,3.2913,0.9292,10.1038/s41586-019-1798-7
str_m5_o18_o24_sra_sym.80,In Silico,V4 H30 C62 N2 O20,1.0423,3.39444,0.8947,10.1038/s41586-019-1798-7
str_m5_o18_o29_sra_sym.17,In Silico,V4 H36 C124 Br8 N12 O28,1.6223,3.6122,0.7705,10.1038/s41586-019-1798-7
str_m5_o2_o17_sra_sym.25,In Silico,V4 H28 C69 O21 F4,1.0862,4.58883,0.8812,10.1038/s41586-019-1798-7
str_m5_o2_o17_sra_sym.7,In Silico,V4 H42 C72 N2 O21,1.09228,3.61823,0.933965898,10.1038/s41586-019-1798-7
str_m5_o2_o19_sra_sym.116,In Silico,V4 H20 C44 N4 O20,1.0285,3.83515,0.9353,10.1038/s41586-019-1798-7
str_m5_o2_o19_sra_sym.12,In Silico,V4 H16 C44 O24,1.031,3.66491,0.92,10.1038/s41586-019-1798-7
str_m5_o2_o19_sra_sym.141,In Silico,V4 H12 C44 N4 O28,1.1379,2.98901,0.896,10.1038/s41586-019-1798-7
str_m5_o2_o19_sra_sym.53,In Silico,V4 H12 C44 N4 O28,1.1379,2.99929,0.896,10.1038/s41586-019-1798-7
str_m5_o2_o19_sra_sym.7,In Silico,V4 H12 C48 N4 O20,1.0653,3.40333,0.9138,10.1038/s41586-019-1798-7
str_m5_o2_o20_sra_sym.119,In Silico,V4 H48 C66 O26 F4,1.1686,3.68558,0.951,10.1038/s41586-019-1798-7
str_m5_o2_o25_sra_sym.67,In Silico,V4 H29 C62 Cl3 O20,0.982768,3.61291,0.885435804,10.1038/s41586-019-1798-7
str_m5_o25_o25_sra_sym.42,In Silico,V4 H120 C112 O36,1.0351,3.9246,1.064,10.1038/s41586-019-1798-7
str_m5_o4_o16_sra_sym.35,In Silico,V4 H28 C52 S1 O23,1.1225,3.14643,0.8886,10.1038/s41586-019-1798-7
str_m5_o4_o16_sra_sym.5,In Silico,V4 H30 C53 O21,1.0744,3.32558,0.8967,10.1038/s41586-019-1798-7
str_m5_o4_o16_sra_sym.60,In Silico,V4 H32 C54 O20,1.0767,3.1243,0.9047,10.1038/s41586-019-1798-7
str_m5_o4_o16_sra_sym.65,In Silico,V4 H22 C52 O20 F6,1.1434,3.17723,0.8621,10.1038/s41586-019-1798-7
str_m5_o4_o16_sra_sym.66,In Silico,V4 H31 C54 N1 O22,1.0941,3.12335,0.9037,10.1038/s41586-019-1798-7
str_m5_o4_o18_sra_sym.107,In Silico,V4 H26 C60 N4 O28 F2,1.1344,3.02193,0.89,10.1038/s41586-019-1798-7
str_m5_o4_o24_sra_sym.100,In Silico,V4 H45 C48 N5 O28,1.2236,4.67021,0.9311,10.1038/s41586-019-1798-7
str_m5_o4_o4_sra_sym.69,In Silico,V4 H40 C48 O28,1.2802,4.37956,0.9162,10.1038/s41586-019-1798-7
str_m5_o5_o16_sra_sym.88,In Silico,V4 H28 C46 O20,1.1208,3.15868,0.9265,10.1038/s41586-019-1798-7
str_m5_o5_o18_sra_sym.78,In Silico,V4 H16 C48 N4 O28,1.1557,3.80967,0.8946,10.1038/s41586-019-1798-7
str_m6_o42_o47_etb_sym.114,In Silico,Ba2 P8 H51 C42 Br1 O24,1.4818,3.37885,0.8086,10.1038/s41586-019-1798-7
str_m6_o42_o49_etb_sym.13,In Silico,Ba2 P8 H54 C44 N2 O24,1.4194,4.08794,0.8501,10.1038/s41586-019-1798-7
str_m6_o43_o48_etb_sym.93,In Silico,Ba2 P8 H51 C48 S10 N5 O64,1.7401,4.03956,0.8336,10.1038/s41586-019-1798-7
str_m6_o46_o55_etb_sym.130,In Silico,Ba2 P8 H58 C55 S7 O48,1.7598,3.64742,0.847,10.1038/s41586-019-1798-7
str_m6_o46_o55_etb_sym.75,In Silico,Ba2 P8 H58 C52 S3 O33,1.5538,4.13179,0.8483,10.1038/s41586-019-1798-7
str_m6_o46_o56_etb_sym.177,In Silico,Ba2 P8 H57 C53 N5 O24,1.4563,4.78886,0.8616,10.1038/s41586-019-1798-7
str_m6_o46_o56_etb_sym.5,In Silico,Ba2 P8 H54 C64 O36,1.6082,4.12087,0.8547,10.1038/s41586-019-1798-7
str_m6_o46_o56_etb_sym.58,In Silico,Ba2 P8 H52 C52 S6 Br2 O42,1.8701,3.91373,0.7855,10.1038/s41586-019-1798-7
str_m6_o46_o57_etb_sym.19,In Silico,Ba2 P8 H51 C58 N3 O32,1.5746,4.62519,0.8391,10.1038/s41586-019-1798-7
str_m6_o46_o57_etb_sym.22,In Silico,Ba2 P8 H68 C63 O31,1.5494,4.3982,0.8773,10.1038/s41586-019-1798-7
str_m6_o46_o57_etb_sym.3,In Silico,Ba2 P8 H43 C56 N7 Cl4 O38,1.7236,4.5308,0.8101,10.1038/s41586-019-1798-7
str_m6_o47_o49_etb_sym.75,In Silico,Ba2 P8 H52 C48 S2 O34,1.6625,3.43888,0.8374,10.1038/s41586-019-1798-7
str_m6_o47_o55_etb_sym.65,In Silico,Ba2 P8 H68 C64 O32 F8,1.5012,4.41566,0.8618,10.1038/s41586-019-1798-7
str_m7_o10_o24_bcu_sym.128,In Silico,Ni8 H104 C104 N48 F8,1.068,3.91658,0.8827,10.1038/s41586-019-1798-7
str_m7_o10_o24_bcu_sym.56,In Silico,Ni8 H112 C112 N32 O48,1.2218,3.51424,0.917,10.1038/s41586-019-1798-7
SUKXUS01,Experimental,Zn24 H156 C288 O78,0.3713,8.03376,0.8381,10.1126/science.1192160
SUNJIV_clean,Experimental,Dy2 H12 C24 O12,1.36084,4.0012,0.643416254,10.1002/anie.200900134
SUNJOB_clean,Experimental,Ho2 H12 C24 O12,1.37509,3.99614,0.639825837,10.1002/anie.200900134
SUSZOW,Experimental,Al16 P16 O64,1.8575,5.69148,0.765798377,10.1021/cm902528y
TAPLED,Experimental,Cu2 H72 C44 N24,0.927299,3.7741,1.037558256,10.1039/c0ce00517g
TEMPEI,Experimental,Cu12 H192 C216 O48,0.597812,10.00391,1.014591426,10.1016/j.crci.2012.09.001
tfz-d+N329+N196_E12_charge,In Silico,Mg2 In2 H12 C38 N2 O18,1.549,3.06734,0.805,10.26434/chemrxiv-2023-71mjq
tfz-d+N550+N63_E65_charge,In Silico,Ca16 Cd32 H608 C704 N64 O256,1.4594,2.82358,0.8528,10.26434/chemrxiv-2023-71mjq
TIDLEZ,Experimental,Cd4 H32 C24 N24 Cl4,1.04549,6.3729,0.693923441,10.1039/c2ce06397b
TIDLID,Experimental,Cd2 H16 C12 N12 Cl2,1.30756,3.91108,0.694542641,10.1039/c2ce06397b
TONWUO,Experimental,Zn4 H160 C96 N16 O32,1.33368,3.44793,1.040926474,10.1016/0277-5387(96)00127-1
TOXNEB_clean,Experimental,Al4 H16 C32 O20,1.06886,6.84126,0.947953866,10.1038/nchem.2114
TUKCOT_clean,Experimental,Cd4 H48 C60 N24,1.1597,3.45386,0.75168827,10.1039/C5RA06072A
UCOCUM_neutral,Experimental,Cu12 H24 C72 O48,0.869895,6.2072,0.751258655,10.1021/ja203695h
UCUTIW_clean,Experimental,Zn2 H12 C24 O8,1.00359,5.69199,0.815762113,10.1016/j.poly.2005.09.031
UFUMUD,Experimental,Cu2 H16 C24 N4 O8,1.4941,2.99535,0.8795,10.1039/b200213b
UFUNIS,Experimental,Cu2 H16 C24 N4 O8,1.63622,3.24877,0.855832281,10.1039/b200213b
UHASED,Experimental,Cu4 H8 C28 O24,1.3051,3.86054,0.769445367,10.1021/cg501706t
UIO66-NH2,Experimental,Zr6 H34 C48 N6 O32,1.274,3.77279,0.795,10.1002/anie.201505461                                               
UKUCAF_clean,Experimental,Co4 H104 C100 S8 N16 O16,1.05667,4.25755,0.943087979,10.1021/ic100212q
UTEWUM,Experimental,Cu12 H72 C120 N48,0.728615,9.2707,0.796145273,10.1039/c1sc00136a
UWOWAF_clean,Experimental,Mn6 H24 C60 S12 O24,1.16308,4.30633,0.771662818,10.1021/ic101112b
v0_acs+N433+371,In Silico,Sc6 H12 C36 N24 O26 F24,0.7264,9.10314,0.8346,10.26434/chemrxiv-2023-71mjq
v0_ant+N442+202,In Silico,Nd8 H72 C112 N32 O48,0.7619,7.73272,0.7244,10.26434/chemrxiv-2023-71mjq
v0_bcg+N131+132,In Silico,Mn20 H128 C176 N128 Cl8 O32,1.069,4.15094,0.8417,10.26434/chemrxiv-2023-71mjq
v0_bcg+N131+136,In Silico,Mn20 H160 C192 N128 Cl8 O32,0.9858,4.62961,0.8576,10.26434/chemrxiv-2023-71mjq
v0_bcg+N131+142,In Silico,Mn20 H464 C352 N144 Cl8 O16,0.7343,6.87092,0.9821,10.26434/chemrxiv-2023-71mjq
v0_bcg+N131+156,In Silico,Mn20 H64 C192 N128 Cl8 F128,0.8701,5.79197,0.7775,10.26434/chemrxiv-2023-71mjq
v0_bcg+N131+170,In Silico,Mn20 H336 C256 N144 Cl8,0.9767,4.53141,0.9647,10.26434/chemrxiv-2023-71mjq
v0_bcg+N131+288,In Silico,Mn20 H128 C160 N128 Cl8,0.7954,4.57041,0.8325,10.26434/chemrxiv-2023-71mjq
v0_bcg+N131+49,In Silico,Mn20 H64 C160 N128 Cl8 F64,1.2102,4.03339,0.7721,10.26434/chemrxiv-2023-71mjq
v0+bcg+N131+345,In Silico,Mn20 H96 C176 N128 Cl8 F64,1.0925,4.29525,0.7953,10.26434/chemrxiv-2023-71mjq
v0+bcg+N131+726,In Silico,Mn20 H480 C384 N128 Cl8,0.7165,7.79572,0.9667,10.26434/chemrxiv-2023-71mjq
v0+bcg+N131+733,In Silico,Mn20 H208 C128 N144 Cl8,0.7556,4.64028,0.8825,10.26434/chemrxiv-2023-71mjq
v0+bcg+N131+823,In Silico,Mn20 H384 C336 N128 Cl8 O16,0.7482,5.72614,0.9249,10.26434/chemrxiv-2023-71mjq
v0+bcu+N131+1164,In Silico,Mn10 H32 C128 N80 Cl4 F32,0.9038,5.79584,0.7888,10.26434/chemrxiv-2023-71mjq
v0+bcu+N131+230,In Silico,Mn10 H72 C120 Br8 N64 Cl4 O8,1.0706,5.09955,0.7549,10.26434/chemrxiv-2023-71mjq
v0+bcu+N131+262,In Silico,Mn10 H48 C104 N64 Cl4 O24,0.926,5.22099,0.8192,10.26434/chemrxiv-2023-71mjq
v0+bcu+N131+319,In Silico,Mn10 H48 C128 I24 N72 Cl4 F32,1.2619,6.01103,0.5331,10.26434/chemrxiv-2023-71mjq
v0+bcu+N131+466,In Silico,Mn10 H56 C96 S8 N72 Cl4,0.8819,6.74841,0.8113,10.26434/chemrxiv-2023-71mjq
v0+bcu+N131+634,In Silico,Mn10 H24 C112 Br8 N64 Cl4 F32,1.0608,5.15577,0.6986,10.26434/chemrxiv-2023-71mjq
v0+bcu+N131+644,In Silico,Mn10 H112 C144 N64 Cl4 F16,0.9121,6.03133,0.8842,10.26434/chemrxiv-2023-71mjq
v0+bcu+N131+656,In Silico,Mn10 H64 C136 I16 N64 Cl36 O8,0.7765,9.76682,0.5964,10.26434/chemrxiv-2023-71mjq
v0+bcu+N131+742,In Silico,Mn10 H64 C104 N80 Cl4,0.9389,4.50381,0.8477,10.26434/chemrxiv-2023-71mjq
v0+crb+N520+1158,In Silico,Eu8 H128 C256 O64,0.5201,13.33618,0.8001,10.26434/chemrxiv-2023-71mjq
v0+csq+N131+1257,In Silico,Mn15 H120 C246 N108 Cl6 O12,0.5598,21.69763,0.8482,10.26434/chemrxiv-2023-71mjq
v0+csq+N131+186,In Silico,Mn15 H72 C120 N120 Cl6,0.7378,17.85954,0.8054,10.26434/chemrxiv-2023-71mjq
v0+csq+N131+306,In Silico,Mn15 H108 C192 N96 Cl6,0.8325,14.34295,0.84,10.26434/chemrxiv-2023-71mjq
v0+dia+N520+1783,In Silico,Eu8 H240 C320 N16 O64,0.2144,16.50122,0.8977,10.26434/chemrxiv-2023-71mjq
v0+dia+N520+459,In Silico,Eu8 H64 C160 Cl64 O64,0.3827,12.06667,0.6942,10.26434/chemrxiv-2023-71mjq
v0+dmp+N32+664,In Silico,Gd4 H72 C144 Br8 O32,1.1611,3.98838,0.7133,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+1132,In Silico,Eu4 H64 C160 Cl16 O40,0.2702,13.2271,0.7718,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+1157,In Silico,Eu4 H80 C120 S8 O56,0.6696,5.83447,0.8194,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+1184,In Silico,Eu4 H40 C48 N24 O40,0.7633,6.89151,0.7417,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+1193,In Silico,Eu4 H72 C96 N24 O32,0.6119,7.27118,0.8109,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+1220,In Silico,Eu4 H96 C152 N16 O32,0.6081,6.10875,0.8543,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+1237,In Silico,Eu4 H80 C88 O40,0.8334,5.01397,0.831,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+1242,In Silico,Eu4 H72 C120 S8 N24 O32,0.5656,8.09998,0.8074,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+1278,In Silico,Eu4 H32 C72 N16 O40,0.4495,8.67034,0.7547,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+1455,In Silico,Eu4 H112 C144 I16 O40,0.4605,10.64604,0.5996,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+1482,In Silico,Eu4 H96 C128 O32,0.5219,6.75155,0.8615,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+1514,In Silico,Eu4 H48 C88 O32,0.7813,8.30309,0.804,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+1515,In Silico,Eu4 H56 C112 N8 O40,0.4898,9.86226,0.8009,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+1769,In Silico,Eu4 H144 C120 S8 O48,0.4667,9.25342,0.8867,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+190,In Silico,Eu4 H32 C112 Br32 O40,0.852,7.66558,0.5251,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+22,In Silico,Eu4 H16 C72 O32 F32,1.0881,4.49808,0.7027,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+353,In Silico,Eu4 H72 C88 Br8 O32,0.7224,7.56488,0.6872,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+357,In Silico,Eu4 C32 O32 F32,1.6411,3.46569,0.6452,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+565,In Silico,Eu4 H96 C80 N16 O32 F32,0.6067,8.20436,0.8191,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+774,In Silico,Eu4 H32 C128 O32 F64,0.3877,10.20152,0.7603,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+809,In Silico,Eu4 H40 C80 N8 Cl32 O32,0.5237,9.02371,0.7076,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+82,In Silico,Eu4 H144 C128 N32 O32,0.5407,6.58931,0.9264,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+823,In Silico,Eu4 H192 C168 O40,0.7086,6.86062,0.913,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+835,In Silico,Eu4 H144 C120 O32,0.5251,6.29839,0.9382,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+976,In Silico,Eu4 H40 C48 N40 O32,0.63,7.34604,0.7677,10.26434/chemrxiv-2023-71mjq
v0+dmp+N520+995,In Silico,Eu4 H88 C104 N24 O32,1.0311,3.32445,0.8468,10.26434/chemrxiv-2023-71mjq
v0+eta+N245+345,In Silico,Sm6 H54 C99 O36 F36,0.147,29.12341,0.7298,10.26434/chemrxiv-2023-71mjq
v0+hex+N131+1910,In Silico,Mn5 H48 C84 N32 Cl2 O4,0.4975,8.30867,0.8785,10.26434/chemrxiv-2023-71mjq
v0+hex+N131+1956,In Silico,Mn5 H40 C76 N40 Cl2 O8,0.7371,8.159,0.8633,10.26434/chemrxiv-2023-71mjq
v0+hex+N131+281,In Silico,Mn5 H12 C40 S4 Br4 N40 Cl2,1.6248,2.75166,0.6743,10.26434/chemrxiv-2023-71mjq
v0+hex+N131+654,In Silico,Mn5 H84 C64 N36 Cl2,1.0421,3.88616,0.9672,10.26434/chemrxiv-2023-71mjq
v0+hex+N131+853,In Silico,Mn5 H24 C44 N48 Cl2 O4,1.0683,5.32804,0.8251,10.26434/chemrxiv-2023-71mjq
v0+hex+N131+935,In Silico,Mn5 H44 C64 N36 Cl2 O4,0.5479,10.00471,0.8749,10.26434/chemrxiv-2023-71mjq
v0+lcy+N442+173,In Silico,Nd8 H48 C120 N48 Cl24 O48,0.6277,9.81364,0.6902,10.26434/chemrxiv-2023-71mjq
v0+lcy+N442+22,In Silico,Nd8 H24 C108 O48 F48,1.1183,5.90031,0.6667,10.26434/chemrxiv-2023-71mjq
v0+lon+N520+419,In Silico,Eu4 H32 C80 O32 F32,0.3574,12.55094,0.7341,10.26434/chemrxiv-2023-71mjq
v0+qtz+N520+1111,In Silico,Eu3 H168 C132 N12 O24,0.1664,17.75132,0.9439,10.26434/chemrxiv-2023-71mjq
v0+qtz+N520+364,In Silico,Eu3 H72 C72 O30,0.4619,8.51719,0.8641,10.26434/chemrxiv-2023-71mjq
v0+qtz+N520+68,In Silico,Eu3 H30 C60 N6 O24 F24,0.72,7.25543,0.763,10.26434/chemrxiv-2023-71mjq
v0+reo+N131+1008,In Silico,Mn15 H120 C204 N96 Cl6 O12 F48,0.4735,14.94873,0.844,10.26434/chemrxiv-2023-71mjq
v0+reo+N131+1229,In Silico,Mn15 H144 C240 N96 Cl30,0.5553,13.70947,0.8335,10.26434/chemrxiv-2023-71mjq
v0+reo+N131+2364,In Silico,Mn15 H192 C216 S24 N216 Cl6,0.3089,14.80263,0.8878,10.26434/chemrxiv-2023-71mjq
v0+reo+N131+664,In Silico,Mn15 H108 C216 Br12 N96 Cl6,1.1652,6.12978,0.7517,10.26434/chemrxiv-2023-71mjq
v0+reo+N131+720,In Silico,Mn15 H120 C120 N96 Cl6 F48,0.8152,7.39864,0.8181,10.26434/chemrxiv-2023-71mjq
v0+reo+N131+774,In Silico,Mn15 H48 C192 N96 Cl6 F96,0.5481,13.33863,0.7887,10.26434/chemrxiv-2023-71mjq
v0+reo+N131+957,In Silico,Mn15 H84 C132 I36 N96 Cl6,1.5142,4.23922,0.476,10.26434/chemrxiv-2023-71mjq
v0+reo+N131+960,In Silico,Mn15 H84 C168 N108 Cl30,0.6785,9.87116,0.7973,10.26434/chemrxiv-2023-71mjq
v0+rob+N173+3,In Silico,Gd8 H36 C120 Br12 O48 F48,1.5162,4.20481,0.5987,10.26434/chemrxiv-2023-71mjq
v0+sab+N268+299,In Silico,Co24 H304 C384 O152,0.5582,9.53053,0.9252,10.26434/chemrxiv-2023-71mjq
v0+scu+N131+247,In Silico,Mn5 H16 C38 N32 Cl2 O4,1.4072,3.63268,0.7691,10.26434/chemrxiv-2023-71mjq
v0+scu+N131+255,In Silico,Mn5 H36 C38 N32 Cl2 O16,1.1819,4.91058,0.8265,10.26434/chemrxiv-2023-71mjq
v0+scu+N131+296,In Silico,Mn5 H30 C44 N38 Cl2 O6,0.8558,8.05351,0.834,10.26434/chemrxiv-2023-71mjq
v0+sod+N520+348,In Silico,Eu12 C240 O96 F192,0.3186,15.45638,0.7027,10.26434/chemrxiv-2023-71mjq
v0+sod+N520+834,In Silico,Eu12 H144 C240 I48 O96,0.6899,10.55405,0.4785,10.26434/chemrxiv-2023-71mjq
v0+sra+N520+3,In Silico,Eu8 H48 C160 Br16 O64 F64,0.6034,13.37668,0.6377,10.26434/chemrxiv-2023-71mjq
v0+tfz-d+N131+1081,In Silico,Mn5 H66 C60 N44 Cl2 O4,1.0745,4.21611,0.8856,10.26434/chemrxiv-2023-71mjq
v0+tfz-d+N131+1187,In Silico,Mn5 H70 C76 N44 Cl2,1.0276,3.78067,0.8902,10.26434/chemrxiv-2023-71mjq
